Value,Region/Country,IVP Contact,IVP Contact,Comments
2182 - BARCLAYS BANK PLC,Europe/??,Jen Lawson,,Mulitple issues/activities has lead to audit.  Audit activities are being submitted.
6687 - KEYBANK NATIONAL ASSOCIATION - RPS,Americas/United States,Susan Finnel,Kevin Shuckers,"Key customer identified by Europe region, they also encountered batch files not being processed for multiple days in April 2015"
3785 - SCOTIABANK INVERLAT S.A.,LAC/??,Tracy Kramer ,,Operational support process review conducted on site by customer in April/May 2015
90500 - TRUAXIS SCOTIABANK,LAC/??,,,
99000 - USAA - Dress Rehearsal,Americas/United States,Kevin Shukers,Nicole Klein ,Launch is August 2015. Operational requirements for launch and support requirements are very detailed from customer.  Ensure smooth issues resolution process post launch.
999903 - USAA Test,Americas/United States,Kevin Shukers,Nicole Klein ,?? Used for MTF??
1630 - USAA FEDERAL SAVINGS BANK,Americas/United States,Kevin Shukers,Nicole Klein ,Launch is August 2015.
3662 - BANCO SANTANDER MEXICO,LAC/Mexico,Clarena Furtado ,,To be confirmed with Brian
5709 - BANCO SANTANDER PUERTO RICO,LAC/Puerto Rico,Clarena Furtado ,,To be confirmed with Brian
8328 - BANCO SANTANDER BRASIL S.A.,LAC/Brasil,Clarena Furtado ,,To be confirmed with Brian
90700 - TRUAXIS SANTANDER,??/??,Clarena Furtado ,,To be confirmed with Brian
90800 - SANTANDER BRASIL XBORDER,LAC/Brasil,Clarena Furtado ,,To be confirmed with Brian
90900 - TRUAXIS SANTANDER MEXICO,LAC/Mexico,Clarena Furtado ,,To be confirmed with Brian
,,,,
